Walk here,"Walk here,Jalan kaki kesini"
Pet,"Pet,Peliharaan"
Contract,"Contract,Kontrak"
Harvest,"Harvest,Memanen"
Fill/Check,"Fill/Check,Isi/Periksa"
Take-all,"Take-all,Ambil semuanya"
Clean,"Clean,Membersihkan"
Dump,"Dump,Membuang"
Pick-from,"Pick-from,Pilih dari"
Clear,"Clear,Jernih"
Descend,"Descend,Turun"
Climb,"Climb,Mendaki"
Seeds,"Seeds,Biji"
Take tools,"Take tools,Ambil alat"
Check count,"Check count,Periksa hitungan"
Toggle warning,"Toggle warning,Alihkan peringatan"
Climb Down,"Climb Down,Turun"
Jump on,"Jump on,Melompat ke atas"
Stun,"Stun,Setrum"
Climb through,"Climb through,Memanjat melalui"
Toggle Fossils,"Toggle Fossils,Alihkan Fosil"
Spin,"Spin,Putaran"
Weave,"Weave,Menenun"
Climb Up,"Climb Up,Naik"
Dive,"Dive,Menyelam"
Catch,"Catch,Menangkap"
Pay (north),"Pay (north),Bayar (utara)"
Pay (south),"Pay (south),Bayar (selatan)"
Navigate,"Navigate,Navigasi"
Set up,"Set up,Mendirikan"
Climb-under,"Climb-under,Memanjat ke bawah"
Unlock,"Unlock,Membuka kunci"
Ammo,"Ammo,Amunisi"
Sand,"Sand,Pasir"
Swing-on,"Swing-on,Ayunan"
Fire,"Fire,Api"
Pick-up,"Pick-up,Menjemput"
Preferences,"Preferences,Preferensi"
Operate,"Operate,Beroperasi"
Take-from,"Take-from,Ambil dari"
Take-5,"Take-5,Ambil-5"
Climb-over,"Climb-over,Memanjat"
Chase,"Chase,Mengejar"
Enter-member,"Enter-member,Masuk-anggota"
Enter-guest,"Enter-guest,Masuk-tamu"
Decant,"Decant,Tuangkan"
Join Castle Wars,"Join Castle Wars,Bergabunglah dengan Castle Wars"
Claim-staves,"Claim-staves,Tongkat klaim"
Cross,"Cross,Menyeberang"
Leap,"Leap,Melompat"
Balance,"Balance,Keseimbangan"
Hurdle,"Hurdle,Rintangan"
Jump-off,"Jump-off,Lompat-lompat"
Clean,"Clean,Membersihkan"
Add finds,"Add finds,Tambahkan temuan"
Look-at,"Look-at,Melihat-lihat"
Look at,"Look at,Lihatlah"
Walk-down,"Walk-down,Jalan-jalan"
Push,"Push,Dorongan"
Add to,"Add to,Tambahkan ke"
Get-log,"Get-log,Dapatkan-log"
Count-log,"Count-log,Hitung-log"
Haircut,"Haircut,Potong rambut"
Shave,"Shave,Mencukur"
Contract,"Contract,Kontrak"
Toggle-minerals,"Toggle-minerals,Alihkan-mineral"
Relocate,"Relocate,Relokasi"
Redecorate,"Redecorate,Menghiasi lagi"
Remove-coal,"Remove-coal,Hapus-batubara"
Take-from,"Take-from,Ambil dari"
